config,total_queries,total_api_calls,total_cost_usd,cost_saved_usd,cache_hits,cache_misses,cache_hit_rate,wall_time_seconds
baseline,500,500,0.16600000,0.00000000,0,0,0.000000,0.0008
exact,500,35,0.01162000,0.15438000,465,35,0.930000,0.0016
semantic,500,22,0.00730400,0.15869600,478,22,0.956000,4.2416
full,500,22,0.00730400,0.15869600,478,22,0.956000,2.9601
